Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100nF,
C2,0402,1,47nF,
"C3, C7",0402,2,1uF,
C4,0402,1,0u1F,
C5,2220,1,22uF,
C6,0402,1,22uF,
L1,0805,1,47uH,
"MH1, MH2",,2,,
"R1, R2",0603,2,5k1,
R3,0603,1,27k,
R4,0603,1,20k,
R5,0805,1,1M,
R6,0402,1,47k,
R7,0402,1,22k,
U1,RGF0040E-IPC_A,1,MCT8316Z0TRGFR,
