BAT1:1
BUZZER1:1
BZ1:1
C1_1:1
C1_2:1
C1_3:1
C1_I1:1
C1_R1:1
C2_1:1
C2_2:1
C2_3:1
C2_I1:1
C2_R1:1
CN11:1
CN12:1
D1:1
D2:1
D3:1
D4:1
DRIBBLER1:1
G***:2
IR1:1
IR2:1
J1:1
J_RF1:1
L1:1
L2:1
L3:1
LED1:1
LED2:1
LED3:1
LED4:1
M1:1
M2:1
M3:1
M4:1
MH1:1
MH2:1
MH3:1
MH4:1
MH_11:1
MH_21:1
MH_22:1
MH_31:1
MH_41:1
MH_42:1
MISO1:1
MOSI1:1
NM1:1
NM2:1
NM3:1
NM4:1
Q1:1
Q2:1
R1_I1:1
R2_I1:1
R3:1
R4:1
R5:1
R6:1
R7:1
RK1:1
RK10:1
RK11:1
RK12:1
RK13:1
RK5:1
RK6:1
RK7:1
RK8:1
RK9:1
SCK1:1
SW1:1
U1:1
U2:1
U3:1
U4:1
