Designator,Mid X,Mid Y,Rotation,Layer
J1,161.19,-62.0,180.0,top
J2,149.0,-77.11,90.0,top
J3,174.5,-73.5,90.0,top
Q1,156.5,-81.0,0.0,top
RN7A1,163.5,-75.5,0.0,top
RN7B1,163.25,-73.5,0.0,top
RN7C1,160.0,-71.0,0.0,top
RN7D1,162.5,-68.5,0.0,top
RN8A1,163.75,-84.25,0.0,top
RN8B1,164.0,-82.0,0.0,top
RN8C1,163.25,-79.5,0.0,top
RN8D1,163.25,-77.5,0.0,top
RN9A1,157.0,-74.5,180.0,top
RN9D1,155.5,-70.5,180.0,top
