Designator,Footprint,Quantity,Value,LCSC Part #
J1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,1x04_P2.54mm,
J2,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,1,1x08_P2.54mm,
J3,Hirose_DF13C_CL535-0412-6-51_1x12-1MP_P1.25mm_Vertical,1,DF13C_CL535-0412-6-51_1x12-1MP_P1.25mm_Vertical,
Q1,SOT-23,1,BSS84,
"RN7A1, RN7B1, RN7C1, RN7D1, RN8A1, RN8B1, RN8C1, RN8D1",0805,8,100,
"RN9A1, RN9D1",0805,2,10k,
